,"Gallouj, Faiz","Lievens, Annouk","Evangelista, R.","Atuahene-Gima, K.","de Ruyter, K.","Lee, Jungwoo","Lemmink, J.","Lyytinen, Kalle","Moenaert, R. K.","Sirilli, G.","Sundbo, Jon","Walsham, G.","Andersen, B.","Andreassen, Tor Wallin","Barkema, H. G.","Barney, J. B.","Barrett, Michael","Barua, Anitesh","Bessant, J.","Bitner, Mary Jo","Blazevic, V.","Boden, M.","Braithwaite, C.","Brown, Stephen W","Butler, B S","Cappleman, S.","Carte, T A","Croes, H J P","Den Hertog, Pim","DeTore, A.","Dholakia, N.","Dos Santos, Brian L","Eastwood, D.","Elfring, T.","Fox, J.","Frambach, R. T.","Frambach, RT","Francis, D.","Freel, M. S.","Gann, R.","Ghijsen, P.","Hackney, R.","Halsall, D.","Halsall, J.","Heiskanen, E.","Henrichs, R. B.","Howells, J.","Hull, Frank M","Héritier, A.","Igel, B.","Jalas, M.","Jasperson, J","Johnson, L. W.","Kleijnen, M.","Klein, E.","Lee, E.-J.","Lin, L. H.","Lu, Iuan-Yuan","Lusch, R. F.","Martini, M.","Meuter, M. L.","Meyer, M. H.","Michalski, T.","Miles, Ian","Miozzo, M.","Moyo, L. M.","Muhanna, W. A.","Nooteboom, B.","Numprasertchai, S.","Orlikowski, Wanda J.","Ouwersloot, H","Pandya, A. M.","Peffers, K.","Ramirez, M.","Ray, G.","Rose, Gregory M","Royston, G.","S'Jegers, R.","Saunders, C S","Savona, Maria","Semeijn, Janjaap","Sharma, S. K.","Shoib, G.","Shur, A.","Smits, R.","Sultan, F.","Susarla, Anjana","Tether, Bruce S","Timonen, P.","van Birgelen, M.","van der Aa, Wietze","van Riel, A.C.R.","Vargo, S. L.","Von Glahn, L.","Walker, R. H.","Walker, Richard M","Wedel, M.","Weinstein, O.","Whinston, Andrew B","Wood, P.","Wu, G.-C.","Xu, HA","Yang, H D","Yoo, Youngjin","Zaas, B.","Zagler, M.","Zheng, W J"
"Bessant, J.",,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Bitner, Mary Jo",,,,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Blazevic, V.",,1,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Boden, M.",,,,,,,,,,,,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Braithwaite, C.",,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Brown, Stephen W",,,,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Butler, B S",,,,,,,,,,,,,,,,,,,,,,,,,1,,1,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
"Cappleman, S.",,,,,,,,,,,,1,,,,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
"Carte, T A",,,,,,,,,,,,,,,,,,,,,,,,,1,,1,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
"Croes, H J P",,,,,,,,,,,,,,,,,,,,,,,,,1,,1,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
"Den Hertog, Pim",,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"DeTore, A.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Dholakia, N.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Dos Santos, Brian L",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Eastwood, D.",,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Elfring, T.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
"Fox, J.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,1,,,,,,,,,,,1,,
"Frambach, R. T.",,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,
"Frambach, RT",,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,
"Francis, D.",,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
